"ID","Best_by_AICc","Best_by_BIC"
"Acinetobacter.clacoaceticus..RDA.R._15_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus..RDA.R._25_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus..RDA.R._35_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus..RDA.R._5_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.1_15_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.1_25_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.1_35_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.1_5_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.2_15_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.2_25_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.2_35_TSB_1","Logistic","Logistic"
"Acinetobacter.clacoaceticus.2_5_TSB_1","Logistic","Logistic"
"Aerobic Mesophilic._10_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._10_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._10_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._15_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._15_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._15_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._20_Cooked Chicken Breast_3","Quadratic","Quadratic"
"Aerobic Mesophilic._20_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._20_Salted Chicken Breast_3","Quadratic","Quadratic"
"Aerobic Mesophilic._2_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._2_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._2_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._4_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._4_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._4_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._7_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._7_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Mesophilic._7_Salted Chicken Breast_3","Quadratic","Quadratic"
"Aerobic Psychotropic._10_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._10_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._10_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._15_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._15_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._15_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._20_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._20_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._20_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._2_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._2_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._2_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._4_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._4_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._4_Salted Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._7_Cooked Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._7_Raw Chicken Breast_3","Logistic","Logistic"
"Aerobic Psychotropic._7_Salted Chicken Breast_3","Logistic","Logistic"
"Arthrobacter aurescens_0_TGE agar_6","Quadratic","Quadratic"
"Arthrobacter aurescens_20_TGE agar_6","Logistic","Logistic"
"Arthrobacter aurescens_30_TGE agar_6","Quadratic","Quadratic"
