"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Acinetobacter.clacoaceticus..RDA.R._15_TSB_1","Quadratic",21,TRUE,0.533024700932048,-50.9389931711935,-49.5272284653112,-47.8054258580232
"Acinetobacter.clacoaceticus..RDA.R._15_TSB_1","Logistic",21,TRUE,0.670428129498535,-58.2571133534542,-56.8453486475719,-55.123546040284
"Acinetobacter.clacoaceticus..RDA.R._25_TSB_1","Quadratic",14,TRUE,0.68590545534827,-22.5416962354669,-20.1416962354669,-20.6245242466212
"Acinetobacter.clacoaceticus..RDA.R._25_TSB_1","Logistic",14,TRUE,0.913313402159822,-40.5652226965225,-38.1652226965225,-38.6480507076767
"Acinetobacter.clacoaceticus..RDA.R._35_TSB_1","Quadratic",15,TRUE,0.472349272401427,-15.5235275323517,-13.3417093505335,-13.399376929045
"Acinetobacter.clacoaceticus..RDA.R._35_TSB_1","Logistic",15,TRUE,0.961679280772102,-54.8601851643925,-52.6783669825743,-52.7360345610859
"Acinetobacter.clacoaceticus..RDA.R._5_TSB_1","Quadratic",28,TRUE,0.925704942406652,-143.520796974114,-142.520796974114,-139.524183443588
"Acinetobacter.clacoaceticus..RDA.R._5_TSB_1","Logistic",28,TRUE,0.927031864703559,-144.025401405671,-143.025401405671,-140.028787875146
"Acinetobacter.clacoaceticus.1_15_TSB_1","Quadratic",21,TRUE,0.453552051601245,-61.713745402601,-60.3019806967186,-58.5801780894307
"Acinetobacter.clacoaceticus.1_15_TSB_1","Logistic",21,TRUE,0.808868331503802,-83.7737519718914,-82.3619872660091,-80.6401846587212
"Acinetobacter.clacoaceticus.1_25_TSB_1","Quadratic",13,TRUE,0.675240241926727,-19.7852160418576,-17.1185493751909,-18.090367969473
"Acinetobacter.clacoaceticus.1_25_TSB_1","Logistic",13,TRUE,0.809394878305868,-26.7126799718298,-24.0460133051631,-25.0178318994452
"Acinetobacter.clacoaceticus.1_35_TSB_1","Quadratic",16,TRUE,0.637662689396256,-10.6485245911429,-8.6485245911429,-8.33075842442356
